NO;BRANCH;SITE ID;SITE NAME;CHANNEL TYPE;GRADE STORE;GOLD;SILVER;BROWN;TOTAL;GOLD;SILVER;TOTAL
360;MANADO;C003721962;SWISS II (IND);TRADITIONAL;A;1;1;; 2 ; 196.735.656 ; 239.867.154 ; 436.602.810 
361;MAKASSAR;C003722002;HUTOMO ELEKTRONIK & FURNITURE;TRADITIONAL;A;;;1; 1 ; 42.208.375 ; 102.608.461 ; 144.816.836 
362;MANADO;C003722019;ANUGERAH ELEKTRONIK (IND);TRADITIONAL;A;;;1; 1 ; 54.562.026 ; 65.683.110 ; 120.245.136 
363;SAMARINDA;C003722254;METRO ELEKTRONIK BERAU TARAKAN;TRADITIONAL;A;;;1; 1 ; 122.636.793 ; 82.848.544 ; 205.485.337 
364;SEMARANG;C003722929;CENTRAL ELECTRONIC (MELATI);TRADITIONAL;A;1;1;; 2 ; 327.292.287 ; 231.218.800 ; 558.511.087 
365;YOGYAKARTA;C003731192;NEW DIVA SRAGEN;TRADITIONAL;B1;1;1;; 2 ; 306.074.275 ; 319.298.203 ; 625.372.478 
366;YOGYAKARTA;C003731218;MEGA ELEKTRONIK  (IND);TRADITIONAL;B1;;;1; 1 ; 57.900.280 ; 136.846.759 ; 194.747.039 
367;SURABAYA;C003731228;GAYA BARU ELEKTRONIK PASURUAN;TRADITIONAL;B1;;;1; 1 ; 157.637.282 ; 54.929.324 ; 212.566.606 
368;SURABAYA;C003731265;KARUNIA ELECTRONIK;TRADITIONAL;B1;;;1; 1 ; 124.727.915 ; 81.481.558 ; 206.209.473 
369;BANDUNG;C003732020;TOKO SEHATI TASIK;TRADITIONAL;B1;;;1; 1 ; 78.327.675 ; 122.019.145 ; 200.346.820 
370;YOGYAKARTA;C003732232;DIVA ELEKTRONIK;TRADITIONAL;B1;;;1; 1 ; 99.455.095 ; 123.141.249 ; 222.596.344 
371;SAMARINDA;C003741190;GRASIAS;TRADITIONAL;A;1;1;; 2 ; 181.153.484 ; 194.459.919 ; 375.613.403 
372;JAKARTA KAM;C003741362;BEST DENKI PURI;MODERN;B1;2;1;; 3 ; 358.743.766 ; 163.780.136 ; 522.523.902 
373;PEKANBARU;C003750609;SARANA ELEKTRONIK KERINCI;TRADITIONAL;A;;;1; 1 ; 186.409.854 ; 213.604.591 ; 400.014.445 
374;JAKARTA KAM;C003752177;ELECTRONIC CITY PONDOK INDAH MALL;MODERN;A;4;3;; 7 ; 1.753.918.258 ; 468.578.817 ; 2.222.497.075 
375;BANDUNG;C003752325;METRO GARUT;TRADITIONAL;A;;;1; 1 ; 299.765.070 ; 273.657.185 ; 573.422.255 
376;JAKARTA KAM;C003770635;ELECTRONIC CITY BOGOR TRADE MALL;MODERN;B1;;;1; 1 ; 101.109.170 ; 30.611.314 ; 131.720.484 
377;BANDUNG;C003781074;ELECTRONIC CITY JATINANGOR;MODERN;B1;;;1; 1 ; 108.154.597 ; 20.976.624 ; 129.131.221 
378;JAKARTA KAM;C003810678;WHITE BROWN ELECTRONICS BEKASI;MODERN;B1;1;1;; 2 ; 175.591.533 ; 70.150.450 ; 245.741.983 
379;JAKARTA KAM;C003810679;WHITE BROWN ELECTRONICS CINERE;MODERN;B1;;;1; 1 ; 147.637.228 ; 20.585.292 ; 168.222.520 
380;JAKARTA;C003841161;CHANDRA PRINGSEWU;TRADITIONAL;C2;;;1; 1 ; 78.636.763 ; 73.741.309 ; 152.378.072 
381;JAKARTA KAM;C003870763;ELECTRONIC CITY BUARAN;MODERN;B1;1;1;; 2 ; 250.600.417 ; 159.290.862 ; 409.891.279 
382;JAKARTA KAM;C003870764;CARREFOUR PLUIT VILLAGE;MODERN;B1;;;1; 1 ; 75.818.252 ; 13.231.789 ; 89.050.041 
383;JAKARTA KAM;C003870770;ELECTRONIC CITY CILEGON CENTER MALL;MODERN;B1;;;1; 1 ; 128.154.645 ; 73.941.408 ; 202.096.053 
384;JAKARTA KAM;C003930956;BEST DENKI LOTTE AVENUE;MODERN;A;1;1;; 2 ; 234.935.620 ; 29.929.467 ; 264.865.087 
385;JAKARTA KAM;C003931070;ELECTRONIC CITY PEJATEN;MODERN;A;;;1; 1 ; 175.872.683 ; 108.701.918 ; 284.574.601 
386;JAKARTA KAM;C003931071;ELECTRONIC CITY CIPUTAT;MODERN;B2;;;1; 1 ; 75.418.287 ; 48.110.578 ; 123.528.865 
387;JAKARTA KAM;C003931072;ELECTRONIC CITY SUNTER;MODERN;A;;;1; 1 ; 99.009.107 ; 102.810.966 ; 201.820.073 
388;YOGYAKARTA;C003970850;NEW CANDI ELECTRONIC;TRADITIONAL;B1;4;4;; 8 ; 1.965.836.707 ; 1.399.255.551 ; 3.365.092.258 
389;JAKARTA KAM;C003970911;CARREFOUR CIPINANG;MODERN;B1;;;1; 1 ; 54.000.061 ; 25.971.643 ; 79.971.704 
390;JAKARTA KAM;C004000731;ELECTRONIC CITY RAWAMANGUN;MODERN;B1;1;1;; 2 ; 182.937.136 ; 130.728.578 ; 313.665.714 
391;SAMARINDA;C004011290;NUANSA MATOS;TRADITIONAL;B1;4;3;; 7 ; 817.967.074 ; 1.334.544.152 ; 2.152.511.226 
392;JAKARTA KAM;C004090809;BEST DENKI SUMMARECON BEKASI;MODERN;B1;2;2;; 4 ; 320.364.069 ; 140.984.297 ; 461.348.366 
393;JAKARTA KAM;C004090815;ELECTRONIC CITY CIKARANG;MODERN;A;;;1; 1 ; 131.227.216 ; 64.152.855 ; 195.380.071 
394;JAKARTA KAM;C004220694;WHITE BROWN ELECTRONICS DEPOK;MODERN;A;1;1;; 2 ; 184.909.492 ; 107.790.131 ; 292.699.623 
395;BANJARMASIN;C004310791;UFO PALANGKARAYA;TRADITIONAL;B1;1;1;; 2 ; 197.364.523 ; 272.718.104 ; 470.082.627 
396;JAKARTA KAM;C004400694;ELECTRONIC CITY PLAZA KALIBATA;MODERN;B2;;;1; 1 ; 39.636.449 ; 14.021.606 ; 53.658.055 
397;JAKARTA KAM;C004400695;ELECTRONIC CITY AMPERA;MODERN;A;;;1; 1 ; 69.800.266 ; 49.559.415 ; 119.359.681 
398;PALEMBANG;C004461641;GIANT PALEMBANG;MODERN;B1;;;1; 1 ; 83.182.011 ; 27.160.652 ; 110.342.663 
399;MANADO;C004461652;STAR KITCHEN;TRADITIONAL;B1;2;1;; 3 ; 448.171.057 ; 464.462.647 ; 912.633.704 
400;JAKARTA KAM;C004500737;ELECTRONIC CITY JABABEKA;MODERN;B1;;;1; 1 ; 96.700.055 ; 91.525.128 ; 188.225.183 
401;JAKARTA;C004500738;ELECTRONIC CITY TANJUNG KARANG;MODERN;B1;;;1; 1 ; 40.500.176 ; 46.632.094 ; 87.132.270 
402;JAKARTA KAM;C004650699;CARREFOUR CIBINONG CITY MALL;MODERN;B1;;;1; 1 ; 125.091.303 ; 35.906.591 ; 160.997.894 
403;JAKARTA;C004720855;WIJAYA ELECTRONIC 2;TRADITIONAL;A;;;1; 1 ; 105.182.092 ; 52.205.206 ; 157.387.298 
404;MEDAN;C004720857;A8 ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 68.953.878 ; 101.348.309 ; 170.302.187 
405;JAKARTA KAM;C004720859;WHITE BROWN ELECTRONICS GANDARIA;MODERN;A;1;1;; 2 ; 224.863.826 ; 77.907.079 ; 302.770.905 
406;JAKARTA KAM;C004721276;ELECTRONIC CITY ALAM SUTERA;MODERN;B1;2;1;; 3 ; 355.845.884 ; 206.628.178 ; 562.474.062 
407;MAKASSAR;C004762834;JAYA ELECTRONIK ABEPURA;TRADITIONAL;A;1;1;; 2 ; 191.799.835 ; 378.402.051 ; 570.201.886 
408;MEDAN;C004770973;BIGGE ELECTRONIC;TRADITIONAL;A;1;2;; 3 ; 629.366.608 ; 556.329.293 ; 1.185.695.901 
409;JAKARTA KAM;C004860709;WHITE BROWN ELECTRONICS BAYWALK PLUIT;MODERN;B1;;;1; 1 ; 57.954.780 ; 27.541.541 ; 85.496.321 
410;JAKARTA KAM;C004880709;GIANT PALEM SEMI;MODERN;B1;;;1; 1 ; -   ; -   ; -   
411;BANJARMASIN;C004900704;SUMBER NIAGA;TRADITIONAL;A;;;1; 1 ; 112.273.384 ; 175.584.378 ; 287.857.762 
412;BANDUNG;C004951007;ELECTRONIC CITY SUPERMAL CIANJUR;MODERN;A;;;1; 1 ; -   ; -   ; -   
413;JAKARTA KAM;C004990724;ELECTRONIC CITY RUKO TEBET;MODERN;B1;;;1; 1 ; 95.027.275 ; 83.522.434 ; 178.549.709 
414;JAKARTA KAM;C005020749;WHITE BROWN ELECTRONICS CIBINONG;MODERN;B1;1;1;; 2 ; 79.145.836 ; 107.884.061 ; 187.029.897 
415;PALEMBANG;C005540694;TRIOJAYA ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 766.185.006 ; 435.201.838 ; 1.201.386.844 
416;MAKASSAR;C005711564;WHITE BROWN ELECTRONICS MAKASSAR;MODERN;B1;1;1;; 2 ; 93.955.165 ; 57.168.820 ; 151.123.985 
417;JAKARTA KAM;C005810706;WHITE BROWN ELECTRONICS BOGOR;MODERN;B1;;;1; 1 ; 39.054.595 ; 4.727.300 ; 43.781.895 
418;PALEMBANG;C005930802;SINAR BERLIAN JAMBI;TRADITIONAL;A;;;1; 1 ; 225.373.816 ; 252.206.434 ; 477.580.250 
419;SAMARINDA;C005970709;TOKO  JAKARTA BALIKPAPAN;TRADITIONAL;A;3;3;; 6 ; 1.246.731.911 ; 2.040.804.415 ; 3.287.536.326 
420;JAKARTA KAM;C005970714;ELECTRONIC CITY CIPINANG;MODERN;A;1;1;; 2 ; 206.218.026 ; 258.560.478 ; 464.778.504 
421;JAKARTA KAM;C006110738;GIANT PASAR KAMIS;MODERN;B1;;;1; 1 ; 30.017.904 ; 12.477.731 ; 42.495.635 
422;MANADO;C006291958;NEW RUDI JAYA;TRADITIONAL;A;1;1;; 2 ; 179.246.574 ; 395.284.532 ; 574.531.106 
423;MANADO;C007391100;SUARA ELECTRO (HOKIMAN);TRADITIONAL;B1;;;1; 1 ; 262.001.431 ; 262.356.895 ; 524.358.326 
424;BALI;C007440750;NEW SUMBER MAS;TRADITIONAL;B1;;;1; 1 ; 86.425.925 ; 184.911.940 ; 271.337.865 
425;MANADO;C007440766;CV. BINA KARYA SARANA BANGUN DC;TRADITIONAL;A;1;1;; 2 ; 180.646.174 ; 237.463.100 ; 418.109.274 
426;BANDUNG;C007531093;WHITE BROWN ELECTRONICS DAGO PLAZA BANDUNG;MODERN;B1;;;1; 1 ; -   ; -   ; -   
427;YOGYAKARTA;C007580738;ELECTRONIC CITY ARTOS MAGELANG;MODERN;A;1;1;; 2 ; 127.444.848 ; 104.025.562 ; 231.470.410 
428;YOGYAKARTA;C007580739;ELECTRONIC CITY JCM YOGYAKARTA;MODERN;B3;;;1; 1 ; 62.205.732 ; -   ; 62.205.732 
429;JAKARTA KAM;C007710768;BEST DENKI CITRAGRAND;MODERN;B1;2;1;; 3 ; 247.019.438 ; 191.485.689 ; 438.505.127 
430;PALEMBANG;C007950763;ELECTRONIC CITY PALEMBANG ICON;MODERN;A;1;1;; 2 ; 213.382.756 ; 88.339.464 ; 301.722.220 
431;BANDUNG;C007990831;TOKO CITRA;TRADITIONAL;A;;;1; 1 ; 297.483.300 ; 300.341.135 ; 597.824.435 
432;JAKARTA KAM;C008110804;WHITE BROWN ELECTRONICS LIVING WORLD ALAM SUTRA;MODERN;B1;1;1;; 2 ; 318.818.725 ; 161.461.982 ; 480.280.707 
433;BANJARMASIN;C008200946;POS ELEKTRONIK;TRADITIONAL;B1;2;2;; 4 ; 469.011.069 ; 368.778.312 ; 837.789.381 
434;JAKARTA KAM;C008410695;BEST DENKI BINTARO EXCHANGE;MODERN;A;1;1;; 2 ; 314.727.576 ; 114.410.812 ; 429.138.388 
435;JAKARTA KAM;C008750812;ELECTRONIC CITY GREEN TERRACE MALL;MODERN;B1;1;1;; 2 ; 166.082.457 ; 41.721.150 ; 207.803.607 
436;BALI;C008990692;UFO GIANYAR;TRADITIONAL;A;;;1; 1 ; 197.000.643 ; 91.045.738 ; 288.046.381 
437;JAKARTA;C009350759;SINAR MAKMUR;TRADITIONAL;A;;;1; 1 ; 381.227.711 ; 329.200.311 ; 710.428.022 
438;JAKARTA;C009620830;GLAEN TANJUNG RAYA;TRADITIONAL;A;;;1; 1 ; 203.228.095 ; 196.677.060 ; 399.905.155 
439;JAKARTA KAM;C010441459;GIANT EKSTRA DRAMAGA BOGOR;MODERN;B2;;;1; 1 ; 61.236.561 ; 875.700 ; 62.112.261 
440;JAKARTA KAM;C010441460;COURT HARAPAN INDAH;MODERN;A;1;1;; 2 ; 414.402.813 ; 200.110.060 ; 614.512.873 
441;BANDUNG;C010720694;ASIA ELECTRONIC CIREBON;TRADITIONAL;A;;;1; 1 ; 126.273.461 ; 114.887.415 ; 241.160.876 
442;JAKARTA KAM;C010820800;BEST DENKI GRAND METROPOLITAN BEKASI;MODERN;B1;1;1;; 2 ; 109.682.137 ; 21.271.459 ; 130.953.596 
443;JAKARTA;C010900695;BEST PRICE;TRADITIONAL;A;1;1;; 2 ; 292.433.740 ; 307.304.332 ; 599.738.072 
444;MAKASSAR;C011190690;WHITE BROWN ELECTRONICS PETTARANI;MODERN;B1;1;1;; 2 ; 30.500.120 ; 39.219.074 ; 69.719.194 
445;JAKARTA KAM;C011420731;HYPERMART TECHNO KARAWANG;MODERN;B3;;;1; 1 ; 92.091.195 ; 11.784.122 ; 103.875.317 
446;SURABAYA;C011470995;PRIMA ELEKTRONIK SURABAYA;TRADITIONAL;B1;1;1;; 2 ; 395.683.349 ; 190.522.135 ; 586.205.484 
447;BANDUNG;C011640713;WHITE BROWN ELECTRONICS TASIK;MODERN;D;;;1; 1 ; -   ; -   ; -   
448;JAKARTA KAM;C011740698;COURT BOGOR SQUARE;MODERN;B1;;;1; 1 ; 19.272.788 ; 18.142.211 ; 37.414.999 
449;BALI;C012040730;UFO JIMBARAN;TRADITIONAL;B1;1;1;; 2 ; 364.210.339 ; 126.897.573 ; 491.107.912 
450;MAKASSAR;C012490691;ERA ELEKTRONIK MERAUKE;TRADITIONAL;A;;;1; 1 ; 189.954.169 ; 184.893.612 ; 374.847.781 
451;JAKARTA KAM;C012490719;ELECTRONIC CITY UJUNG MENTENG;MODERN;B1;1;1;; 2 ; 238.272.834 ; 148.942.989 ; 387.215.823 
452;SURABAYA;C012690705;BELDA ELEKTRONIK MAGETAN;TRADITIONAL;B1;1;1;; 2 ; 426.456.031 ; 365.865.663 ; 792.321.694 
453;MEDAN;C013370694;BEST DENKI CENTER POIN;MODERN;A;1;2;; 3 ; 873.485.624 ; 331.898.212 ; 1.205.383.836 
454;PEKANBARU;C013580692;CENTRAL PANAM ELEKTRONIK -  PASIR PUTIH;TRADITIONAL;A;;;1; 1 ; 127.418.651 ; 86.916.076 ; 214.334.727 
455;BANDUNG;C013871650;ELECTRONIC CITY GRAGE MALL CIREBON;MODERN;C2;;;1; 1 ; 51.205.439 ; 55.672.075 ; 106.877.514 
456;JAKARTA KAM;C014170692;WHITE BROWN ELECTRONICS KERAWANG TECHNOMART;MODERN;B1;1;1;; 2 ; 138.228.099 ; 55.162.337 ; 193.390.436 
457;MAKASSAR;C014220721;BRANDSHOP AMBON;TRADITIONAL;A;1;1;; 2 ; 905.958.536 ; 466.766.285 ; 1.372.724.821 
458;MEDAN;C014340691;ASIA JAYA MEDAN;TRADITIONAL;A;2;1;; 3 ; 1.102.264.602 ; 301.817.881 ; 1.404.082.483 
459;MEDAN;C014340692;SURYA JAYA MEDAN;TRADITIONAL;A;;;1; 1 ; 168.936.359 ; 265.768.680 ; 434.705.039 
460;PEKANBARU;C014440693;FAJAR HARAPAN - BUKITTINGGI;TRADITIONAL;A;;;1; 1 ; 111.046.164 ; 85.300.906 ; 196.347.070 
461;JAKARTA;C014810691;ELECTRONIC CITY MALL BUMO KEDATON LAMPUNG;MODERN;A;1;1;; 2 ; 147.964.370 ; 77.541.085 ; 225.505.455 
462;JAKARTA;C020580752;SANKYO CIPINANG;TRADITIONAL;B1;;;1; 1 ; 469.933.368 ; 768.306.997 ; 1.238.240.365 
463;JAKARTA;C020580754;SANKYO PELUMPANG;TRADITIONAL;B1;;;1; 1 ; 34.663.743 ; 261.771.184 ; 296.434.927 
464;SURABAYA;C021790734;HARTONO SIDOARJO;TRADITIONAL;B1;4;4;; 8 ; 1.411.413.756 ; 1.618.112.119 ; 3.029.525.875 
465;JAKARTA;C022040695;SUMBER KARYA 4;TRADITIONAL;A;;2;; 2 ; -   ; 607.884.819 ; 607.884.819 
466;JAKARTA KAM;C022710783;WHITE BROWN ELECTRONICS BINTARO;MODERN;B2;;;1; 1 ; 93.954.586 ; 53.591.061 ; 147.545.647 
467;JAKARTA KAM;C022850718;COURT BINTARO;MODERN;B1;;;1; 1 ; 49.181.930 ; 57.805.570 ; 106.987.500 
468;JAKARTA KAM;C023660693;CARREFOUR CILANDAk;MODERN;B1;1;1;; 2 ; 130.964.061 ; 22.849.048 ; 153.813.109 
469;PALEMBANG;C024030698;GIANT PLAJU PALEMBANG;MODERN;B1;;;1; 1 ; 72.227.593 ; 16.082.761 ; 88.310.354 
470;YOGYAKARTA;C025600789;DEPO PELITA BANJARNEGARA;TRADITIONAL;B1;;;1; 1 ; 129.008.561 ; 195.640.408 ; 324.648.969 
471;JAKARTA;C026240782;DUTA ELECTRONIC CIKARANG;TRADITIONAL;A;;;1; 1 ; 343.592.195 ; 194.738.486 ; 538.330.681 
472;SURABAYA;C026240784;UFO MOJOKERTO;TRADITIONAL;B1;1;1;; 2 ; 313.701.614 ; 137.183.241 ; 450.884.855 
473;SURABAYA;C026410814;BARES HOME 2;TRADITIONAL;B1;;;1; 1 ; 12.727.312 ; 10.552.837 ; 23.280.149 
474;SURABAYA;C026410969;FELI JAYA II;TRADITIONAL;A;1;1;; 2 ; 210.091.774 ; 359.607.367 ; 569.699.141 
475;SURABAYA;C026411006;SURYA AGUNG;TRADITIONAL;C1;;;1; 1 ; 186.409.983 ; 211.904.045 ; 398.314.028 
476;MAKASSAR;C026411072;HIMALAYA;TRADITIONAL;B1;;;1; 1 ; 89.500.527 ; 132.814.351 ; 222.314.878 
477;MAKASSAR;C026411117;PELITA ELEKTRONIK;TRADITIONAL;B1;;;1; 1 ; 168.979.597 ; 208.949.104 ; 377.928.701 
478;BANDUNG;C026411253;SINAR MAJU SUDIRMAN BANDUNG;TRADITIONAL;A;1;1;; 2 ; 492.910.689 ; 196.798.225 ; 689.708.914 
479;JAKARTA;C026411384;ISTANA JAYA ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 193.127.911 ; 172.169.292 ; 365.297.203 
480;MANADO;C026411630;SUARA ELEKTRO MANADO;TRADITIONAL;B1;;;1; 1 ; 122.836.991 ; 121.955.484 ; 244.792.475 
481;MANADO;C026411632;SUARA ELECTRO TERNATE;TRADITIONAL;A;;;1; 1 ; 101.273.235 ; 130.280.674 ; 231.553.909 
482;JAKARTA;C026411653;INTI JAYA;TRADITIONAL;A;;;1; 1 ; 137.836.593 ; 144.268.347 ; 282.104.940 
483;JAKARTA;C026411716;SURYA MAS ELECTRONIC;TRADITIONAL;B1;;;1; 1 ; 209.137.506 ; 109.825.255 ; 318.962.761 
484;BANDUNG;C026710754;LOG IN CIMINDI;TRADITIONAL;B1;1;1;; 2 ; 237.200.628 ; 176.873.660 ; 414.074.288 
485;BANDUNG;C026770724;SINAR MAJU ELECTRONICS BANDUNG;TRADITIONAL;A;1;1;; 2 ; 447.598.673 ; 210.351.668 ; 657.950.341 
486;PEKANBARU;C026770725;CENTRAL PANAM ELEKTRONIK GARUDA SAKTI;TRADITIONAL;B3;;;1; 1 ; 81.245.892 ; 56.770.497 ; 138.016.389 
487;JAKARTA;C026950712;LULU BEKASI;TRADITIONAL;A;;;1; 1 ; 25.727.256 ; 96.415.135 ; 122.142.391 
488;MEDAN;C027350692;MEMORY ELECTRONICS ACEH;TRADITIONAL;A;;;1; 1 ; 39.933.781 ; 409.481.011 ; 449.414.792 
489;BANDUNG;C027350695;TOKO SEHATI MEGASTORE GARUT;TRADITIONAL;B1;;;1; 1 ; 121.891.399 ; 66.976.364 ; 188.867.763 
490;SURABAYA;C027990832;CENTRO JEMBER;TRADITIONAL;B1;1;1;; 2 ; 399.965.448 ; 253.433.607 ; 653.399.055 
491;JAKARTA;C028030702;MEGA ELEKTROMART BEKASI;TRADITIONAL;A;1;1;; 2 ; 167.164.264 ; 416.073.534 ; 583.237.798 
492;PALEMBANG;C028410878;CV SENTOSA JAYA PALEMBANG;TRADITIONAL;A;;;1; 1 ; 192.993.661 ; 150.712.283 ; 343.705.944 
493;BALI;C028570693;DWIPA BALI SOLUTION TEUKU UMAR;TRADITIONAL;A;;;1; 1 ; 1.044.376.913 ; 456.007.884 ; 1.500.384.797 
494;JAKARTA KAM;C028590713;INFORMA MAG;MODERN;B1;;;1; 1 ; 58.636.704 ; 43.260.144 ; 101.896.848 
495;JAKARTA KAM;C029520834;COURT CILEDUK;MODERN;B1;;;1; 1 ; 83.454.795 ; 62.363.565 ; 145.818.360 
496;JAKARTA KAM;C029520876;ELECTRONIC CITY METLAND JONGGOL;MODERN;A;1;1;; 2 ; 243.590.987 ; 239.249.474 ; 482.840.461 
497;BANDUNG;C029620715;WHITE BROWN ELECTRONICS CIREBON;MODERN;A;;;1; 1 ; 194.364.259 ; 125.560.169 ; 319.924.428 
498;SURABAYA;C029750749;MIAMI JEMURSARI;TRADITIONAL;B1;;;1; 1 ; 55.409.357 ; 126.663.557 ; 182.072.914 
499;JAKARTA;C029780693;ERISEN RAYA;TRADITIONAL;A;2;1;; 3 ; 410.155.398 ; 340.977.111 ; 751.132.509 
500;BALI;C030240709;GLOBAL ELEKTRONICS LOMBOK;TRADITIONAL;B1;1;1;; 2 ; 96.387.842 ; 139.599.551 ; 235.987.393 
501;JAKARTA;C030290708;CHANDRA METRO LAMPUNG;TRADITIONAL;A;;;1; 1 ; 123.273.403 ; 72.209.047 ; 195.482.450 
502;MEDAN;C030442151;ASIA ELEKTRONIK;TRADITIONAL;A;;;1; 1 ; 101.091.498 ; 193.373.168 ; 294.464.666 
503;MEDAN;C030442171;SUMATERA ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 296.801.261 ; 408.726.559 ; 705.527.820 
504;JAKARTA KAM;C030700772;COURT BOGOR TRADE MALL;MODERN;B1;;;1; 1 ; 59.809.282 ; 27.971.509 ; 87.780.791 
505;JAKARTA;C030860945;SANKYO KEBAYORAN;TRADITIONAL;B1;;;1; 1 ; 223.418.191 ; 473.285.535 ; 696.703.726 
506;PEKANBARU;C030980705;CENTRAL PANAM ELEKTRONIK RUMBAI;TRADITIONAL;B1;;;1; 1 ; 95.600.459 ; 106.336.284 ; 201.936.743 
507;JAKARTA KAM;C031030749;LOTTE MART GREEN PRAMUKA;MODERN;B1;;;1; 1 ; 72.136.711 ; 13.796.378 ; 85.933.089 
508;JAKARTA KAM;C031480715;WHITE BROWN ELECTRONICS Q BIG SERPONG;MODERN;B3;;;1; 1 ; 83.454.795 ; 62.363.565 ; 145.818.360 
509;JAKARTA;C031770728;RAJAWALI ELEKTRONIK CEMPAKA PUTIH;TRADITIONAL;B1;1;1;; 2 ; 710.366.581 ; 576.673.999 ; 1.287.040.580 
510;SEMARANG;C032890700;CARREFOUR PEKALONGAN;MODERN;B1;;;1; 1 ; 69.636.744 ; 23.869.720 ; 93.506.464 
511;BANDUNG;C033550694;GRIYATRON CICALENGKA;TRADITIONAL;A;;;1; 1 ; 369.592.834 ; 82.808.620 ; 452.401.454 
512;BANDUNG;C033550695;MULIA AGUNG;TRADITIONAL;B1;;;1; 1 ; 262.210.178 ; 108.578.147 ; 370.788.325 
513;PALEMBANG;C033610712;HENGKIE ANTAN DJAYA STORE;TRADITIONAL;B1;;;1; 1 ; 124.827.851 ; 144.424.530 ; 269.252.381 
514;PEKANBARU;C034180737;CARREFOUR TRANSMART PADANG;MODERN;A;;;1; 1 ; 109.182.265 ; 32.306.510 ; 141.488.775 
515;PALEMBANG;C034400696;NEW TRIOJAYA SSS;TRADITIONAL;A;1;1;; 2 ; 413.693.778 ; 211.531.269 ; 625.225.047 
516;BANDUNG;C034440831;BEST DENKI PASKAL;MODERN;A;1;1;; 2 ; 464.693.423 ; 24.438.978 ; 489.132.401 
517;BANDUNG;C034440832;WHITE BROWN ELECTRONICS PASIR KALIKI;MODERN;B1;;;1; 1 ; 139.954.685 ; 32.554.045 ; 172.508.730 
518;SAMARINDA;C034710706;GRASIAS SENGKAWIT;TRADITIONAL;A;;;1; 1 ; 81.182.238 ; 165.251.969 ; 246.434.207 
519;JAKARTA;C034710716;LULU BSD;TRADITIONAL;A;;;1; 1 ; 57.408.995 ; 112.066.599 ; 169.475.594 
520;BANDUNG;C034840754;YOGYA BOJONGSOANG;TRADITIONAL;A;;;1; 1 ; 346.147.634 ; 86.150.519 ; 432.298.153 
521;JAKARTA KAM;C038041527;BEST DENKI JAKARTA GARDEN CITY;MODERN;B2;;;1; 1 ; 49.454.772 ; 5.223.846 ; 54.678.618 
522;JAKARTA KAM;C038041552;COURT TAMAN MINI SQUARE;MODERN;B1;;;1; 1 ; 32.379.326 ; 31.903.211 ; 64.282.537 
523;JAKARTA;C038191563;CHANDRA ANTASARI LAMPUNG;TRADITIONAL;C1;;;1; 1 ; 100.636.868 ; 46.035.471 ; 146.672.339 
524;PALEMBANG;C038291738;CARREFOUR TRANSMART NICO PALEMBANG;MODERN;B1;;;1; 1 ; 114.273.100 ; 36.844.036 ; 151.117.136 
525;SURABAYA;C038451530;UFO SIDOARJO;TRADITIONAL;B1;1;2;; 3 ; 233.199.013 ; 236.021.665 ; 469.220.678 
526;MANADO;C039121634;CARREFOUR TRANSMART KAWANUA MANADO;MODERN;A;;;1; 1 ; 89.454.955 ; 27.864.137 ; 117.319.092 
527;JAKARTA;C039671597;CARREFOUR TRANSMART LAMPUNG;MODERN;B1;;;1; 1 ; 58.591.064 ; 23.759.586 ; 82.350.650 
528;JAKARTA KAM;C043401528;BEST DENKI MALL RESINDA KARAWANG;MODERN;A;1;1;; 2 ; 421.638.387 ; 224.030.825 ; 645.669.212 
529;JAKARTA KAM;C043521578;CARREFOUR TRANSMART GRAHA RAYA TANGSEL;MODERN;B1;;;1; 1 ; 75.091.320 ; 22.150.113 ; 97.241.433 
530;SURABAYA;C044401605;UFO JEMBER;TRADITIONAL;A;1;1;; 2 ; 275.892.009 ; 233.625.087 ; 509.517.096 
531;PALEMBANG;C044601589;NEW MR ELEKTRONIK;TRADITIONAL;B1;;;1; 1 ; 103.207.730 ; 101.785.366 ; 204.993.096 
532;BANJARMASIN;C046941526;PONDOK ELECTRONICS 2;TRADITIONAL;A;;;1; 1 ; 141.800.622 ; 258.115.318 ; 399.915.940 
533;MAKASSAR;C048811640;JAYA TEKNIK SORONG;TRADITIONAL;C2;;;1; 1 ; 33.432.767 ; 48.189.669 ; 81.622.436 
534;MAKASSAR;C049161583;GRAND TOSERBA PENGAYOMAN;TRADITIONAL;A;;;1; 1 ; 155.000.486 ; 229.502.189 ; 384.502.675 
535;MAKASSAR;C049161584;GRAND MALL MAROS;TRADITIONAL;A;1;1;; 2 ; 210.955.638 ; 278.899.812 ; 489.855.450 
536;JAKARTA KAM;C049621526;WHITE BROWN ELECTRONICS CILEGON CENTER MALL;MODERN;B2;;;1; 1 ; 102.427.740 ; 51.912.302 ; 154.340.042 
537;JAKARTA KAM;C049631526;CARREFOUR YASMIN BOGOR;MODERN;B1;;;1; 1 ; 12.454.581 ; 15.777.251 ; 28.231.832 
